#Procedure: <SS9Procedure.SS9Procedure>,,,,,,,,,,
#Parameters:,,,,,,,,,,
"#	Maximum Temp.: 300 K",,,,,,,,,,
"#	Delay Time: 1 s",,,,,,,,,,
"#	Field Strength: 0 T",,,,,,,,,,
"#	MM1 Address: USB0::0x05E6::0x2110::1421999::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM2 Address: USB0::0x05E6::0x2110::8015516::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM3 Address: USB0::0x05E6::0x2110::1421483::INSTR",,,,,,,,,,
"#	Voltage: False",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	MM4 Adress: USB0::0x05E6::0x2110::1422148::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	Number of Averages: 1",,,,,,,,,,
"#	Your Name: connor",,,,,,,,,,
#Data:,,,,,,,,,,
elapsed_time,T,T_err,MM1_reading,MM1_error,MM2_reading,MM2_error,MM3_reading,MM3_error,MM4_reading,MM4_error
94.29663849,158.7139282,0,0.216530993,0,0.206351429,0,0.020738285,0,7.16E-05,0
95.98319268,158.6877899,0,0.216545283,0,0.206343933,0,0.020741623,0,6.35E-05,0
97.66891909,158.6773376,0,0.216491267,0,0.206319466,0,0.020739812,0,5.86E-05,0
99.35913777,158.6616364,0,0.21643801,0,0.206285044,0,0.020738786,0,-0.000101339,0
101.0541203,158.6459503,0,0.216394603,0,0.206232041,0,0.020738212,0,-6.74E-05,0
102.7788327,158.6302643,0,0.216367393,0,0.206197574,0,0.020737534,0,-3.42E-05,0
104.5068817,158.6250305,0,0.216361269,0,0.206174954,0,0.02073843,0,6.53E-05,0
106.1926048,158.6041107,0,0.216323405,0,0.2061567,0,0.020739647,0,6.96E-05,0
107.8793533,158.5779572,0,0.216291457,0,0.206125006,0,0.020738833,0,6.08E-05,0
109.5650508,158.5674896,0,0.216269552,0,0.206098422,0,0.020739747,0,5.91E-05,0
111.252732,158.5518036,0,0.216209724,0,0.20607315,0,0.020737989,0,7.14E-05,0
112.9387665,158.5413361,0,0.216215223,0,0.206076636,0,0.02073884,0,6.06E-05,0
